"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Code\angular\pdx-map\src\model\ck3\Faith.ts", "TypeScript", 10, 0, 0, 0, 4, 14
"c:\Code\angular\pdx-map\src\model\ck3\Holding.ts", "TypeScript", 31, 0, 0, 0, 11, 42
"c:\Code\angular\pdx-map\src\model\ck3\LegacyCk3Save.ts", "TypeScript", 14, 0, 0, 304, 1, 319
"c:\Code\angular\pdx-map\src\model\ck3\Player.ts", "TypeScript", 35, 0, 0, 5, 7, 47
"c:\Code\angular\pdx-map\src\model\ck3\RulerTier.ts", "TypeScript", 57, 0, 0, 0, 11, 68
"c:\Code\angular\pdx-map\src\model\ck3\Trait.ts", "TypeScript", 62, 0, 0, 0, 10, 72
"c:\Code\angular\pdx-map\src\model\ck3\enum\Skill.ts", "TypeScript", 8, 0, 0, 0, 0, 8
"c:\Code\angular\pdx-map\src\model\ck3\enum\TraitType.ts", "TypeScript", 11, 0, 0, 0, 0, 11
"c:\Code\angular\pdx-map\src\model\ck3\save\ICk3Save.ts", "TypeScript", 27, 0, 0, 0, 17, 44
"c:\Code\angular\pdx-map\src\model\ck3\save\Parse.ts", "TypeScript", 161, 0, 0, 12, 9, 182
"c:\Code\angular\pdx-map\src\model\ck3\title\AbstractLandedTitle.ts", "TypeScript", 78, 0, 0, 0, 15, 93
"c:\Code\angular\pdx-map\src\model\ck3\title\CustomLandedTitle.ts", "TypeScript", 32, 0, 0, 0, 6, 38
"c:\Code\angular\pdx-map\src\model\ck3\title\LandedTitle.ts", "TypeScript", 22, 0, 0, 0, 5, 27
"c:\Code\angular\pdx-map\src\model\common\OwnershipChange.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Code\angular\pdx-map\src\model\common\SimplifiedDate.ts", "TypeScript", 27, 0, 0, 0, 4, 31
"c:\Code\angular\pdx-map\src\model\eu4\Eu4Save.ts", "TypeScript", 65, 0, 0, 0, 11, 76
"c:\Code\angular\pdx-map\src\model\eu4\Eu4SaveCountry.ts", "TypeScript", 26, 0, 0, 0, 10, 36
"c:\Code\angular\pdx-map\src\model\eu4\Eu4SaveProvince.ts", "TypeScript", 52, 0, 0, 0, 9, 61
"c:\Code\angular\pdx-map\src\model\social\DiscordUser.ts", "TypeScript", 27, 0, 0, 0, 4, 31
"c:\Code\angular\pdx-map\src\model\vic\Building.ts", "TypeScript", 178, 0, 0, 0, 24, 202
"c:\Code\angular\pdx-map\src\model\vic\Country.ts", "TypeScript", 85, 0, 0, 0, 18, 103
"c:\Code\angular\pdx-map\src\model\vic\CountryBudget.ts", "TypeScript", 98, 0, 0, 28, 20, 146
"c:\Code\angular\pdx-map\src\model\vic\CountryShell.ts", "TypeScript", 5, 0, 0, 0, 3, 8
"c:\Code\angular\pdx-map\src\model\vic\CountryShellBuilderService.ts", "TypeScript", 51, 0, 0, 10, 8, 69
"c:\Code\angular\pdx-map\src\model\vic\ImmutableCountryShell.ts", "TypeScript", 27, 0, 0, 7, 7, 41
"c:\Code\angular\pdx-map\src\model\vic\ModelElementList.ts", "TypeScript", 33, 0, 0, 0, 9, 42
"c:\Code\angular\pdx-map\src\model\vic\Ownership.ts", "TypeScript", 7, 0, 0, 0, 0, 7
"c:\Code\angular\pdx-map\src\model\vic\Pop.ts", "TypeScript", 37, 0, 0, 0, 7, 44
"c:\Code\angular\pdx-map\src\model\vic\PowerBloc.ts", "TypeScript", 68, 0, 0, 0, 10, 78
"c:\Code\angular\pdx-map\src\model\vic\Vic3GameFilesService.spec.ts", "TypeScript", 106, 0, 0, 0, 17, 123
"c:\Code\angular\pdx-map\src\model\vic\Vic3GameFilesService.ts", "TypeScript", 580, 0, 0, 0, 70, 650
"c:\Code\angular\pdx-map\src\model\vic\Vic3Save.ts", "TypeScript", 123, 0, 0, 2, 10, 135
"c:\Code\angular\pdx-map\src\model\vic\enum\GoodCategory.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"c:\Code\angular\pdx-map\src\model\vic\enum\ResourceType.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"c:\Code\angular\pdx-map\src\model\vic\game\Good.ts", "TypeScript", 10, 0, 0, 0, 4, 14
"c:\Code\angular\pdx-map\src\model\vic\game\MapStateRegion.ts", "TypeScript", 124, 0, 0, 0, 25, 149
"c:\Code\angular\pdx-map\src\model\vic\game\ModPop.ts", "TypeScript", 18, 0, 0, 0, 1, 19
"c:\Code\angular\pdx-map\src\saveana\CK3TableColumnProvider.ts", "TypeScript", 119, 0, 0, 2, 7, 128
"c:\Code\angular\pdx-map\src\services\D3JsService.ts", "TypeScript", 98, 0, 0, 0, 13, 111
"c:\Code\angular\pdx-map\src\services\PersistanceService.ts", "TypeScript", 21, 0, 0, 0, 5, 26
"c:\Code\angular\pdx-map\src\services\api\SkanderbegProxyService.ts", "TypeScript", 31, 0, 0, 0, 5, 36
"c:\Code\angular\pdx-map\src\services\configuration\GoodViewMode.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"c:\Code\angular\pdx-map\src\services\configuration\Vic3TableColumnProvider.ts", "TypeScript", 414, 0, 0, 0, 29, 443
"c:\Code\angular\pdx-map\src\services\discord-auth.service.ts", "TypeScript", 205, 0, 0, 1, 33, 239
"c:\Code\angular\pdx-map\src\services\gamedata\CK3Service.ts", "TypeScript", 298, 0, 0, 1, 23, 322
"c:\Code\angular\pdx-map\src\services\gamedata\CustomRulerFile.ts", "TypeScript", 13, 0, 0, 0, 4, 17
"c:\Code\angular\pdx-map\src\services\pdx-file.service.ts", "TypeScript", 172, 0, 0, 4, 17, 193
"c:\Code\angular\pdx-map\src\styles.scss", "SCSS", 0, 55, 0, 10, 5, 70
"c:\Code\angular\pdx-map\src\styles\theme.scss", "SCSS", 0, 105, 0, 2, 20, 127
"c:\Code\angular\pdx-map\src\test-setup.ts", "TypeScript", 49, 0, 0, 7, 8, 64
"c:\Code\angular\pdx-map\src\util\Mouse.ts", "TypeScript", 35, 0, 0, 0, 9, 44
"c:\Code\angular\pdx-map\src\util\Point2D.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Code\angular\pdx-map\src\util\RGB.ts", "TypeScript", 40, 0, 0, 0, 7, 47
"c:\Code\angular\pdx-map\src\util\geometry\threeGeometry.ts", "TypeScript", 446, 0, 0, 1, 44, 491
"c:\Code\angular\pdx-map\src\util\lobby.ts", "TypeScript", 90, 0, 0, 5, 9, 104
"c:\Code\angular\pdx-map\src\util\table\AggregatingTableColumn.ts", "TypeScript", 35, 0, 0, 0, 4, 39
"c:\Code\angular\pdx-map\src\util\table\BuildingAggregatingTableColumn.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"c:\Code\angular\pdx-map\src\util\table\HasAggregation.ts", "TypeScript", 4, 0, 0, 0, 0, 4
"c:\Code\angular\pdx-map\src\util\table\HasElements.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Code\angular\pdx-map\src\util\table\HasName.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"c:\Code\angular\pdx-map\src\util\table\ITableColumn.ts", "TypeScript", 10, 0, 0, 0, 0, 10
"c:\Code\angular\pdx-map\src\util\table\SimpleTableColumn.ts", "TypeScript", 23, 0, 0, 0, 2, 25
"c:\Code\angular\pdx-map\src\util\table\TableColumn.ts", "TypeScript", 90, 0, 0, 0, 10, 100
"c:\Code\angular\pdx-map\src\utils.ts", "TypeScript", 8, 0, 0, 0, 0, 8
"Total", "-", 12787, 2297, 962, 562, 2193, 18801
