Date : 2026-01-01 23:54:40
Directory : c:\Code\angular\pdx-map\src
Total : 182 files,  16046 codes, 562 comments, 2193 blanks, all 18801 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        131 |     12,787 |        507 |      1,812 |     15,106 |
| SCSS       |         26 |      2,297 |         35 |        351 |      2,683 |
| HTML       |         25 |        962 |         20 |         30 |      1,012 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Code\angular\pdx-map\src\app\plot-view\PlottingService.ts                         | TypeScript |        369 |         36 |         21 |        426 |
| c:\Code\angular\pdx-map\src\app\plot-view\plot-view.component.html                   | HTML       |         17 |          0 |          0 |         17 |
| c:\Code\angular\pdx-map\src\app\plot-view\plot-view.component.scss                   | SCSS       |         47 |          0 |          8 |         55 |
| c:\Code\angular\pdx-map\src\app\plot-view\plot-view.component.ts                     | TypeScript |        103 |          3 |         21 |        127 |
| c:\Code\angular\pdx-map\src\app\plot-view\plot\Plotable.ts                           | TypeScript |         11 |          0 |          1 |         12 |
| c:\Code\angular\pdx-map\src\app\resourcemap\resourcemap.component.html               | HTML       |         32 |          0 |          1 |         33 |
| c:\Code\angular\pdx-map\src\app\resourcemap\resourcemap.component.scss               | SCSS       |         89 |          0 |         15 |        104 |
| c:\Code\angular\pdx-map\src\app\resourcemap\resourcemap.component.spec.ts            | TypeScript |         18 |          0 |          6 |         24 |
| c:\Code\angular\pdx-map\src\app\resourcemap\resourcemap.component.ts                 | TypeScript |        206 |          0 |         26 |        232 |
| c:\Code\angular\pdx-map\src\app\save-view-splash\save-view-splash.component.html     | HTML       |         51 |          0 |          0 |         51 |
| c:\Code\angular\pdx-map\src\app\save-view-splash\save-view-splash.component.scss     | SCSS       |        102 |          0 |         20 |        122 |
| c:\Code\angular\pdx-map\src\app\save-view-splash\save-view-splash.component.ts       | TypeScript |        318 |         10 |         48 |        376 |
| c:\Code\angular\pdx-map\src\app\save-view\save-view.component.html                   | HTML       |         75 |          1 |          0 |         76 |
| c:\Code\angular\pdx-map\src\app\save-view\save-view.component.scss                   | SCSS       |         79 |          0 |         11 |         90 |
| c:\Code\angular\pdx-map\src\app\save-view\save-view.component.ts                     | TypeScript |         72 |          0 |         16 |         88 |
| c:\Code\angular\pdx-map\src\app\saveana\ck3-save-view\ck3-save-view.component.html   | HTML       |         11 |          6 |          0 |         17 |
| c:\Code\angular\pdx-map\src\app\saveana\ck3-save-view\ck3-save-view.component.scss   | SCSS       |         57 |          0 |          8 |         65 |
